,LocationID,Borough,Zone,service_zone,city_coord
24,25,Brooklyn,Boerum Hill,Boro Zone,"[40.6848689, -73.9844722]"
25,26,Brooklyn,Borough Park,Boro Zone,"[40.6323009, -73.9888797]"
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,"[40.5616379, -73.8953425]"
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,"[40.70894910000001, -73.8154394]"
28,29,Brooklyn,Brighton Beach,Boro Zone,"[40.5780706, -73.9596565]"
29,30,Queens,Broad Channel,Boro Zone,"[40.6158335, -73.8213213]"
30,31,Bronx,Bronx Park,Boro Zone,"[40.843445, -73.8772819]"
31,32,Bronx,Bronxdale,Boro Zone,"[40.84784450000001, -73.8601178]"
32,33,Brooklyn,Brooklyn Heights,Boro Zone,"[40.6960105, -73.9932872]"
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,"[40.7020737, -73.9708292]"
34,35,Brooklyn,Brownsville,Boro Zone,"[25.9017472, -97.4974838]"
35,36,Brooklyn,Bushwick North,Boro Zone,"[40.6944282, -73.92128579999999]"
36,37,Brooklyn,Bushwick South,Boro Zone,"[40.6944282, -73.92128579999999]"
37,38,Queens,Cambria Heights,Boro Zone,"[40.692158, -73.7330753]"
38,39,Brooklyn,Canarsie,Boro Zone,"[40.6402325, -73.9060579]"
39,40,Brooklyn,Carroll Gardens,Boro Zone,"[40.6795331, -73.9991637]"
40,41,Manhattan,Central Harlem,Boro Zone,"[40.8115504, -73.9464769]"
41,42,Manhattan,Central Harlem North,Boro Zone,"[40.8115504, -73.9464769]"
42,43,Manhattan,Central Park,Yellow Zone,"[40.7828647, -73.9653551]"
43,44,Staten Island,Charleston/Tottenville,Boro Zone,"[40.5216684, -74.2346398]"
44,45,Manhattan,Chinatown,Yellow Zone,"[38.992502, -94.66599]"
45,46,Bronx,City Island,Boro Zone,"[40.8468202, -73.7874983]"
46,47,Bronx,Claremont/Bathgate,Boro Zone,"[40.8426797, -73.8993571]"
47,48,Manhattan,Clinton East,Yellow Zone,"[39.418323, -83.648484]"
48,49,Brooklyn,Clinton Hill,Boro Zone,"[40.68936650000001, -73.9639021]"
49,50,Manhattan,Clinton West,Yellow Zone,"[36.1037745, -96.01828599999999]"
50,51,Bronx,Co-Op City,Boro Zone,"[40.8738889, -73.82944440000001]"
51,52,Brooklyn,Cobble Hill,Boro Zone,"[40.686536, -73.9962255]"
52,53,Queens,College Point,Boro Zone,"[40.786395, -73.8389657]"
53,54,Brooklyn,Columbia Street,Boro Zone,"[41.0809376, -85.1415328]"
54,55,Brooklyn,Coney Island,Boro Zone,"[40.5755438, -73.9707016]"
55,56,Queens,Corona,Boro Zone,"[33.8752935, -117.5664384]"
56,57,Queens,Corona,Boro Zone,"[33.8752935, -117.5664384]"
57,58,Bronx,Country Club,Boro Zone,"[37.6771779, -95.4922009]"
58,59,Bronx,Crotona Park,Boro Zone,"[40.8400367, -73.8953489]"
59,60,Bronx,Crotona Park East,Boro Zone,"[40.8400367, -73.8953489]"
60,61,Brooklyn,Crown Heights North,Boro Zone,"[40.6681032, -73.9447994]"
61,62,Brooklyn,Crown Heights South,Boro Zone,"[40.6681032, -73.9447994]"
62,63,Brooklyn,Cypress Hills,Boro Zone,"[40.6836118, -73.8801301]"
63,64,Queens,Douglaston,Boro Zone,"[40.768713, -73.74707649999999]"
64,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,"[40.6931259, -73.9866365]"
65,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,"[40.702755, -73.9812884]"
66,67,Brooklyn,Dyker Heights,Boro Zone,"[40.6214932, -74.00958399999999]"
67,68,Manhattan,East Chelsea,Yellow Zone,"[40.7465004, -74.00137370000002]"
68,69,Bronx,East Concourse/Concourse Village,Boro Zone,
69,70,Queens,East Elmhurst,Boro Zone,"[40.7737505, -73.8713099]"
70,71,Brooklyn,East Flatbush/Farragut,Boro Zone,"[40.6373955, -73.9298657]"
71,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,"[40.6527657, -73.9199771]"
72,73,Queens,East Flushing,Boro Zone,"[40.7525589, -73.8095574]"
73,74,Manhattan,East Harlem North,Boro Zone,"[40.7957399, -73.93892129999999]"
74,75,Manhattan,East Harlem South,Boro Zone,"[40.7957399, -73.93892129999999]"
75,76,Brooklyn,East New York,Boro Zone,"[40.6568312, -73.8830701]"
76,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,"[40.6566541, -73.8890955]"
77,78,Bronx,East Tremont,Boro Zone,"[40.8453781, -73.8909693]"
78,79,Manhattan,East Village,Yellow Zone,"[40.7264773, -73.98153370000001]"
79,80,Brooklyn,East Williamsburg,Boro Zone,"[40.7158762, -73.93304289999999]"
80,81,Bronx,Eastchester,Boro Zone,"[40.95956049999999, -73.8095574]"
81,82,Queens,Elmhurst,Boro Zone,"[41.8994744, -87.9403418]"
82,83,Queens,Elmhurst/Maspeth,Boro Zone,"[40.7301926, -73.88705639999999]"
83,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,"[40.5394463, -74.156292]"
84,85,Brooklyn,Erasmus,Boro Zone,"[40.6492617, -73.9580402]"
85,86,Queens,Far Rockaway,Boro Zone,"[40.5998931, -73.74484369999999]"
86,87,Manhattan,Financial District North,Yellow Zone,"[40.7074909, -74.0112764]"
87,88,Manhattan,Financial District South,Yellow Zone,"[35.1533901, -90.0416584]"
88,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,"[40.6409217, -73.96243270000001]"
89,90,Manhattan,Flatiron,Yellow Zone,"[35.3279693, -97.49094579999999]"
90,91,Brooklyn,Flatlands,Boro Zone,"[40.6268432, -73.93304289999999]"
91,92,Queens,Flushing,Boro Zone,"[40.7674987, -73.833079]"
92,93,Queens,Flushing Meadows-Corona Park,Boro Zone,"[40.73971359999999, -73.840785]"
93,94,Bronx,Fordham South,Boro Zone,"[40.8620404, -73.88569869999999]"
94,95,Queens,Forest Hills,Boro Zone,"[40.718106, -73.8448469]"
95,96,Queens,Forest Park/Highland Park,Boro Zone,"[42.8372553, -75.9237649]"
96,97,Brooklyn,Fort Greene,Boro Zone,"[40.6920638, -73.97418739999999]"
97,98,Queens,Fresh Meadows,Boro Zone,"[40.7335179, -73.7801447]"
98,99,Staten Island,Freshkills Park,Boro Zone,"[40.5773669, -74.18616159999999]"
99,100,Manhattan,Garment District,Yellow Zone,"[39.0978613, -94.583466]"
100,101,Queens,Glen Oaks,Boro Zone,"[41.5486249, -93.7813711]"
101,102,Queens,Glendale,Boro Zone,"[34.1425078, -118.255075]"
102,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"[40.68945009999999, -74.016792]"
103,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"[40.68945009999999, -74.016792]"
